Year,RK,ID,NAME,TEAM,SALARY,POS,GMS,PASS_YDS,PASS_TD,PASS_INT,RUSH_YDS,RUSH_TD,RUSH_REC,REC_YDS,REC_TD,DEF_SCK,DEF_INT,DEF_FF,DEF_FR,FPTS_G,FPTS
2014,245,13871,Dre Kirkpatrick,CIN,1173908.00,CB,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.5
2020,40,7242,Drew Brees,NO,25000000.00,QB,2,399,3,3,5,0,0,0,0,0,0,0,0,11.2,22.46
2019,140,7242,Drew Brees,NO,23000000.00,QB,1,208,1,1,5,0,0,0,0,0,0,0,0,8.8,8.82
2018,11,7242,Drew Brees,NO,27000000.00,QB,2,550,4,2,-2,0,0,0,0,0,0,0,0,16.9,33.8
2017,8,7242,Drew Brees,NO,13000000.00,QB,2,670,5,3,0,0,0,0,0,0,0,0,0,20.4,40.8
2021,638,20859,Drew Lock,DEN,1132347.00,QB,6,787,2,2,53,2,1,1,0,0,0,0,0,8.5,50.88
2014,316,16144,Dri Archer,PIT,926016.00,RB,1,0,0,0,-1,0,3,15,0,0,0,0,0,1.4,1.4
2018,248,19978,Duke Ejiofor,HOU,665257.00,DL,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2021,596,16838,Duke Johnson,MIA,4031887.00,RB,5,0,0,0,330,3,4,41,0,0,0,0,0,11,55.1
2019,120,16838,Duke Johnson,HOU,2200000.00,RB,2,0,0,0,49,0,8,53,0,0,0,0,0,5.1,10.2
2021,1040,18945,Duke Riley,MIA,1127500.00,OLB,16,0,0,0,0,0,0,0,0,0,0,0,0,1.3,20.5
2020,342,21122,Duke Shelley,CHI,838779.00,CB,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2019,206,18666,Duke Williams,BUF,473824.00,WR,1,0,0,0,0,0,4,49,0,0,0,0,0,4.9,4.9
2021,815,19943,Durham Smythe,MIA,2183000.00,TE,17,0,0,0,3,0,34,357,0,0,0,0,0,2.1,36
2021,470,14887,Duron Harmon,ATL,1212500.00,SS,17,0,0,0,0,0,0,0,0,0,2,0,0,4.1,69.5
2019,183,14887,Duron Harmon,NE,3500000.00,SS,1,0,0,0,0,0,0,0,0,0,1,0,0,6,6
2018,366,14887,Duron Harmon,NE,2250000.00,SS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,149,14887,Duron Harmon,NE,7250000.00,SS,3,0,0,0,0,0,0,0,0,0,1,0,0,3,9
2016,139,14887,Duron Harmon,NE,1731143.00,SS,3,0,0,0,0,0,0,0,0,0,1,0,0,2.8,8.5
2015,307,14887,Duron Harmon,NE,736262.00,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1
2014,208,14887,Duron Harmon,NE,500500.00,SS,3,0,0,0,0,0,0,0,0,0,1,0,0,1.7,5
2021,126,14867,Dustin Hopkins,LAC,2900000.00,K,17,0,0,0,0,0,0,0,0,0,0,0,0,7.9,134
